Date,Open,High,Low,Close,Adj Close,Volume
01/01/2016,2038.199951,2038.199951,1812.290039,1940.23999,1940.23999,92409770000
01/02/2016,1936.939941,1962.959961,1810.099976,1932.22998,1932.22998,93049560000
01/03/2016,1937.089966,2072.209961,1937.089966,2059.73999,2059.73999,92639420000
01/04/2016,2056.620117,2111.050049,2033.800049,2065.300049,2065.300049,81124990000
01/05/2016,2067.169922,2103.47998,2025.910034,2096.949951,2096.949951,78883600000
01/06/2016,2093.939941,2120.550049,1991.680054,2098.860107,2098.860107,86852700000
01/07/2016,2099.340088,2177.090088,2074.02002,2173.600098,2173.600098,69530250000
01/08/2016,2173.149902,2193.810059,2147.580078,2170.949951,2170.949951,75610310000
01/09/2016,2171.330078,2187.870117,2119.120117,2168.27002,2168.27002,77270240000
01/10/2016,2164.330078,2169.600098,2114.719971,2126.149902,2126.149902,73196630000
01/11/2016,2128.679932,2214.100098,2083.790039,2198.810059,2198.810059,88299760000
01/12/2016,2200.169922,2277.530029,2187.439941,2238.830078,2238.830078,75251240000
01/01/2017,2251.570068,2300.98999,2245.129883,2278.870117,2278.870117,70483180000
01/02/2017,2285.590088,2371.540039,2271.649902,2363.639893,2363.639893,69162420000
01/03/2017,2380.129883,2400.97998,2322.25,2362.719971,2362.719971,81547770000
01/04/2017,2362.340088,2398.159912,2328.949951,2384.199951,2384.199951,65265670000
01/05/2017,2388.5,2418.709961,2352.719971,2411.800049,2411.800049,79607170000
01/06/2017,2415.649902,2453.820068,2405.699951,2423.409912,2423.409912,81002490000
01/07/2017,2431.389893,2484.040039,2407.699951,2470.300049,2470.300049,63169400000
01/08/2017,2477.100098,2490.870117,2417.350098,2471.649902,2471.649902,70616030000
01/09/2017,2474.419922,2519.439941,2446.550049,2519.360107,2519.360107,66337980000
01/10/2017,2521.199951,2582.97998,2520.399902,2575.26001,2575.26001,70871570000
01/11/2017,2583.209961,2657.73999,2557.449951,2647.580078,2647.580078,73173260000
01/12/2017,2645.100098,2694.969971,2605.52002,2673.610107,2673.610107,65251190000
01/01/2018,2683.72998,2872.870117,2682.360107,2823.810059,2823.810059,76860120000
01/02/2018,2816.449951,2835.959961,2532.689941,2713.830078,2713.830078,79579410000
01/03/2018,2715.219971,2801.899902,2585.889893,2640.870117,2640.870117,76369800000
01/04/2018,2633.449951,2717.48999,2553.800049,2648.050049,2648.050049,69648590000
01/05/2018,2642.959961,2742.23999,2594.620117,2705.27002,2705.27002,75617280000
01/06/2018,2718.699951,2791.469971,2691.98999,2718.370117,2718.370117,77439710000
01/07/2018,2704.949951,2848.030029,2698.949951,2816.290039,2816.290039,64542170000
01/08/2018,2821.169922,2916.5,2796.340088,2901.52002,2901.52002,69238220000
01/09/2018,2896.959961,2940.909912,2864.120117,2913.97998,2913.97998,62492080000
01/10/2018,2926.290039,2939.860107,2603.540039,2711.73999,2711.73999,91327930000
01/11/2018,2717.580078,2815.149902,2631.090088,2760.169922,2760.169922,80080110000
01/12/2018,2790.5,2800.179932,2346.580078,2506.850098,2506.850098,83522570000
01/01/2019,2476.959961,2708.949951,2443.959961,2704.100098,2704.100098,80401630000
01/02/2019,2702.320068,2813.48999,2681.830078,2784.48999,2784.48999,70183430000
01/03/2019,2798.219971,2860.310059,2722.27002,2834.399902,2834.399902,78596280000
01/04/2019,2848.629883,2949.52002,2848.629883,2945.830078,2945.830078,69604840000
01/05/2019,2952.330078,2954.129883,2750.52002,2752.060059,2752.060059,76860120000
01/06/2019,2751.530029,2964.149902,2728.810059,2941.76001,2941.76001,70904280000
01/07/2019,2971.409912,3027.97998,2952.219971,2980.379883,2980.379883,70349470000
01/08/2019,2980.320068,3013.590088,2822.120117,2926.459961,2926.459961,79599440000
01/09/2019,2909.01001,3021.98999,2891.850098,2976.73999,2976.73999,73992330000
01/10/2019,2983.689941,3050.100098,2855.939941,3037.560059,3037.560059,77564550000
01/11/2019,3050.719971,3154.26001,3050.719971,3140.97998,3140.97998,72179920000
01/12/2019,3143.850098,3247.929932,3070.330078,3230.780029,3230.780029,72054000000
01/01/2020,3244.669922,3337.77002,3214.639893,3225.52002,3225.52002,77104420000
01/02/2020,3235.659912,3393.52002,2855.840088,2954.219971,2954.219971,84292270000
01/03/2020,2974.280029,3136.719971,2191.860107,2584.590088,2584.590088,1.61801E+11
01/04/2020,2498.080078,2954.860107,2447.48999,2912.429932,2912.429932,1.23163E+11
01/05/2020,2869.090088,3068.669922,2766.639893,3044.310059,3044.310059,1.06799E+11
01/06/2020,3038.780029,3233.129883,2965.659912,3100.290039,3100.290039,1.31044E+11
01/07/2020,3105.919922,3279.98999,3101.169922,3271.120117,3271.120117,97197020000
01/08/2020,3288.26001,3514.77002,3284.530029,3500.310059,3500.310059,84402300000
01/09/2020,3507.439941,3588.110107,3209.449951,3363,3363,92084120000
01/10/2020,3385.870117,3549.850098,3233.939941,3269.959961,3269.959961,89737600000
01/11/2020,3296.199951,3645.98999,3279.73999,3621.629883,3621.629883,1.00978E+11
01/12/2020,3645.870117,3760.199951,3633.399902,3756.070068,3756.070068,96056410000
