Date,Open,High,Low,Close,Adj Close,Volume
01/12/2016,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,59524700
01/01/2017,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,64829000
01/02/2017,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,61855800
01/03/2017,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,69419700
01/04/2017,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,53926300
01/05/2017,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,66135700
01/06/2017,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,72145900
01/07/2017,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,55697200
01/08/2017,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,61500600
01/09/2017,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,63421300
01/10/2017,22423.4707,23485.25,22416,23377.24023,23377.24023,73029100
01/11/2017,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,73356400
01/12/2017,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,65898900
01/01/2018,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,91169200
01/02/2018,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,94502500
01/03/2018,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,88730400
01/04/2018,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,80645500
01/05/2018,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,72780200
01/06/2018,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,74111100
01/07/2018,24161.5293,25587.24023,24077.56055,25415.18945,25415.18945,54085000
01/08/2018,25461.63086,26167.93945,24965.76953,25964.82031,25964.82031,56354100
01/09/2018,25916.07031,26769.16016,25754.32031,26458.31055,26458.31055,52625000
01/10/2018,26598.35938,26951.81055,24122.23047,25115.75977,25115.75977,83733500
01/11/2018,25142.08008,26277.82031,24268.74023,25538.46094,25538.46094,72269400
01/12/2018,25779.57031,25980.21094,21712.5293,23327.46094,23327.46094,81015400
01/01/2019,23058.60938,25109.61914,22638.41016,24999.66992,24999.66992,71892000
01/02/2019,25025.31055,26241.41992,24883.03906,25916,25916,54345400
01/03/2019,26019.66992,26155.98047,25208,25928.67969,25928.67969,66377000
01/04/2019,26075.09961,26695.96094,26062.58984,26592.91016,26592.91016,58546000
01/05/2019,26639.06055,26689.39063,24809.50977,24815.03906,24815.03906,63582300
01/06/2019,24830.16016,26907.36914,24680.57031,26599.96094,26599.96094,55443900
01/07/2019,26805.85938,27398.67969,26616.21094,26864.26953,26864.26953,52074700
01/08/2019,26879.85938,27175.58984,25339.59961,26403.2793,26403.2793,61960800
01/09/2019,26198.25977,27306.73047,25978.2207,26916.83008,26916.83008,50455200
01/10/2019,26962.53906,27204.35938,25743.46094,27046.23047,27046.23047,56609600
01/11/2019,27142.94922,28174.9707,27142.94922,28051.41016,28051.41016,49251800
01/12/2019,28109.74023,28701.66016,27325.13086,28538.43945,28538.43945,50868800
01/01/2020,28638.9707,29373.61914,28169.5293,28256.0293,28256.0293,61707700
01/02/2020,28319.65039,29568.57031,24681.00977,25409.35938,25409.35938,69919900
01/03/2020,25590.50977,27102.33984,18213.65039,21917.16016,21917.16016,155211400
01/04/2020,21227.38086,24764.76953,20735.01953,24345.7207,24345.7207,98051600
01/05/2020,24120.7793,25758.78906,22789.61914,25383.10938,25383.10938,79406300
01/06/2020,25342.99023,27580.21094,24843.17969,25812.88086,25812.88086,97104800
01/07/2020,25879.38086,27071.33008,25523.50977,26428.32031,26428.32031,82103700
01/08/2020,26542.32031,28733.34961,26534.38086,28430.05078,28430.05078,74523600
01/09/2020,28439.60938,29199.34961,26537.00977,27781.69922,27781.69922,99739200
01/10/2020,27940.63086,28957.90039,26143.76953,26501.59961,26501.59961,84399300
01/11/2020,26691.2793,30116.50977,26691.2793,29638.64063,29638.64063,78723800
01/12/2020,29797.5,30637.4707,29599.28906,30606.48047,30606.48047,80983100
